::1 - - [09/Jun/2024:18:30:09 +0000] "GET / HTTP/1.1" 200 7855 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:36:05 +0000] "GET /comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15 HTTP/1.1" 302 23 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:36:05 +0000] "GET / HTTP/1.1" 200 7855 "http://localhost:8000/comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:36:10 +0000] "GET /comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15 HTTP/1.1" 302 23 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:36:10 +0000] "GET / HTTP/1.1" 200 7855 "http://localhost:8000/comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:39:03 +0000] "GET /comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15 HTTP/1.1" 302 23 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:39:04 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:39:55 +0000] "GET /comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15 HTTP/1.1" 302 23 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:39:55 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:47:35 +0000] "GET /comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15 HTTP/1.1" 302 23 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:47:35 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:50:37 +0000] "GET /comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15 HTTP/1.1" 302 23 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:50:37 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:50:42 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/users/sign-in" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:50:43 +0000] "GET /chat/getPreviousMessages/null/ HTTP/1.1" 200 899 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:50:43 +0000] "GET /favicon.ico HTTP/1.1" 302 23 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:50:43 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:58:09 +0000] "GET /comments/fetchNext15Comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15 HTTP/1.1" 302 23 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:58:09 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/comments/fetchNext15Comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:58:57 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/users/sign-in" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:58:57 +0000] "GET /chat/getPreviousMessages/null/ HTTP/1.1" 200 899 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:58:58 +0000] "GET /favicon.ico HTTP/1.1" 302 23 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:58:58 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:59:19 +0000] "GET /comments/fetchNext15Comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15 HTTP/1.1" 302 23 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:59:19 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/comments/fetchNext15Comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:59:41 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/users/sign-in" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:59:42 +0000] "GET /chat/getPreviousMessages/null/ HTTP/1.1" 200 899 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:59:42 +0000] "GET /favicon.ico HTTP/1.1" 302 23 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:59:42 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:59:55 +0000] "GET /comments/fetchNext15Comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15 HTTP/1.1" 302 23 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:19:00:43 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/users/sign-in" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:19:00:43 +0000] "GET /chat/getPreviousMessages/null/ HTTP/1.1" 200 899 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:19:00:43 +0000] "GET /favicon.ico HTTP/1.1" 302 23 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:19:00:43 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:19:01:07 +0000] "GET /comments/fetchNext15Comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15 HTTP/1.1" 302 23 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:19:01:07 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/comments/fetchNext15Comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:19:05:04 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/users/sign-in" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:19:05:04 +0000] "GET /chat/getPreviousMessages/null/ HTTP/1.1" 200 899 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:19:05:05 +0000] "GET /favicon.ico HTTP/1.1" 302 23 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:19:05:05 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:19:06:41 +0000] "GET /comments/fetchNext15Comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15 HTTP/1.1" 302 23 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:19:06:41 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/comments/fetchNext15Comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:19:08:43 +0000] "GET /comments/fetchNext15Comments/665b0bbcfdcada7a7116d594?skip=2&limit=5 HTTP/1.1" 302 23 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:19:08:43 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/comments/fetchNext15Comments/665b0bbcfdcada7a7116d594?skip=2&limit=5" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:19:14:00 +0000] "GET /comments/fetchNext15Comments/665b0bbcfdcada7a7116d594?skip=2&limit=5 HTTP/1.1" 302 23 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:19:14:00 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/comments/fetchNext15Comments/665b0bbcfdcada7a7116d594?skip=2&limit=5" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:19:15:49 +0000] "GET /comments/fetchNext15Comments/665b0bbcfdcada7a7116d594?skip=2&limit=5 HTTP/1.1" 200 1398 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:19:16:08 +0000] "GET /comments/fetchNext15Comments/665b0bbcfdcada7a7116d594?skip=2&limit=5 HTTP/1.1" 200 1398 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:19:16:19 +0000] "GET /comments/fetchNext15Comments/665b0bbcfdcada7a7116d594?skip=2&limit=5 HTTP/1.1" 200 1398 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:19:17:19 +0000] "GET /comments/fetchNext15Comments/665b0bbcfdcada7a7116d594?skip=2&limit=5 HTTP/1.1" 200 1398 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:19:17:27 +0000] "GET /comments/fetchNext15Comments/665b0bbcfdcada7a7116d594?skip=2&limit=5 HTTP/1.1" 200 1398 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:19:17:40 +0000] "GET /comments/fetchNext15Comments/665b0bbcfdcada7a7116d594?skip=2&limit=5 HTTP/1.1" 200 1398 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:19:18:19 +0000] "GET /?pageNo=2 HTTP/1.1" 200 19104 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:19:18:20 +0000] "GET /chat/getPreviousMessages/null/ HTTP/1.1" 200 899 "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:19:18:20 +0000] "GET /favicon.ico HTTP/1.1" 302 23 "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:19:18:20 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:19:18:37 +0000] "GET /comments/fetchNext15Comments/665b0bbcfdcada7a7116d594?skip=1&limit=5 HTTP/1.1" 200 2796 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:19:20:52 +0000] "GET /comments/fetchNext15Comments/665b0bbcfdcada7a7116d594?skip=1&limit=5 HTTP/1.1" 200 2796 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:19:26:00 +0000] "GET /comments/fetchNext15Comments/665b0bbcfdcada7a7116d594?skip=1&limit=5 HTTP/1.1" 200 2796 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:19:26:01 +0000] "GET /comments/fetchNext15Comments/665b0bbcfdcada7a7116d594?skip=1&limit=5 HTTP/1.1" 200 2796 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:19:26:03 +0000] "GET /comments/fetchNext15Comments/665b0bbcfdcada7a7116d594?skip=1&limit=5 HTTP/1.1" 200 2796 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:19:58:03 +0000] "GET /chat/getPreviousMessages/null/ HTTP/1.1" 403 9 "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:19:58:03 +0000] "GET /favicon.ico HTTP/1.1" 302 23 "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:19:58:03 +0000] "GET / HTTP/1.1" 200 27079 "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:19:58:06 +0000] "GET /?pageNo=2 HTTP/1.1" 200 30299 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:19:58:06 +0000] "GET /chat/getPreviousMessages/null/ HTTP/1.1" 200 899 "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:19:58:06 +0000] "GET /favicon.ico HTTP/1.1" 302 23 "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:19:58:06 +0000] "GET / HTTP/1.1" 304 - "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:20:02:01 +0000] "GET /?pageNo=2 HTTP/1.1" 304 - "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:20:02:02 +0000] "GET /chat/getPreviousMessages/null/ HTTP/1.1" 304 - "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:20:02:02 +0000] "GET /favicon.ico HTTP/1.1" 302 23 "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:20:02:02 +0000] "GET / HTTP/1.1" 304 - "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:20:02:19 +0000] "GET /?pageNo=2 HTTP/1.1" 200 30319 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:20:02:19 +0000] "GET /chat/getPreviousMessages/null/ HTTP/1.1" 304 - "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:20:02:19 +0000] "GET /favicon.ico HTTP/1.1" 302 23 "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:20:02:19 +0000] "GET / HTTP/1.1" 200 27099 "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:20:02:49 +0000] "GET /?pageNo=2 HTTP/1.1" 200 30476 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:20:02:49 +0000] "GET /chat/getPreviousMessages/null/ HTTP/1.1" 304 - "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:20:02:49 +0000] "GET /favicon.ico HTTP/1.1" 302 23 "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:20:02:49 +0000] "GET / HTTP/1.1" 304 - "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:20:27:24 +0000] "POST /comments/create HTTP/1.1" 302 46 "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:20:28:14 +0000] "GET / HTTP/1.1" 200 19070 "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:20:28:14 +0000] "GET /favicon.ico HTTP/1.1" 302 23 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:20:28:14 +0000] "GET / HTTP/1.1" 304 - "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:20:28:16 +0000] "GET /users/sign-in HTTP/1.1" 304 - "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:20:28:16 +0000] "GET /favicon.ico HTTP/1.1" 302 23 "http://localhost:8000/users/sign-in" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
